learning_rate,max_depth,n_estimators,reg_alpha,subsample,Run,Rmse,rsq
332,0.01,3,5000,1e-05,0.9,332,0.12289304306326541,0.9181653142955274
333,0.01,3,5000,1e-06,0.5,333,0.11962988913122799,0.9239428635558665
334,0.01,3,5000,1e-06,0.7,334,0.1213559259373208,0.9216893739944285
335,0.01,3,5000,1e-06,0.9,335,0.12289304306326541,0.9181653142955274
336,0.01,4,100,0.0001,0.5,336,0.4625824145344386,-0.11629211416157648
337,0.01,4,100,0.0001,0.7,337,0.46254741675095823,-0.10299695959182298
338,0.01,4,100,0.0001,0.9,338,0.46111365444505087,-0.09326476242870507
339,0.01,4,100,5e-05,0.5,339,0.4625824145344386,-0.11629211416157648
340,0.01,4,100,5e-05,0.7,340,0.46254741675095823,-0.10299695959182298
341,0.01,4,100,5e-05,0.9,341,0.46111365444505087,-0.09326476242870507
